,bowRF,bowNB,tfRF,tfNB
0,69.91,69.23,66.63,69.12
1,67.31,69.46,69.23,68.67
2,66.74,68.1,65.61,69.0
3,72.4,71.04,69.46,71.04
4,69.34,72.62,66.52,67.65
5,69.23,73.98,69.8,70.7
6,68.44,71.83,68.67,69.34
7,70.02,70.7,67.99,68.78
8,68.78,70.25,69.91,69.23
9,67.87,69.46,67.53,69.68
10,69.46,69.46,67.99,68.33
11,65.61,70.81,66.06,62.78
12,72.06,71.61,70.93,69.57
13,70.81,72.4,68.67,68.44
14,70.7,69.68,68.67,69.34
15,71.04,71.49,68.44,69.12
16,69.68,72.51,67.31,69.57
17,70.36,72.17,68.21,67.42
18,70.36,70.7,69.34,68.78
19,68.55,71.04,70.59,69.91
20,67.08,70.93,65.61,65.38
21,68.1,70.7,67.99,67.19
22,69.46,71.83,70.7,68.1
23,67.76,69.8,67.99,66.63
24,68.78,70.93,67.31,68.21
25,71.27,72.06,70.59,68.55
26,66.86,70.14,67.76,67.76
27,69.68,70.25,68.21,69.8
28,70.14,71.83,68.21,66.4
29,69.23,68.55,69.12,66.63
30,68.33,70.7,67.53,66.29
31,69.91,72.74,68.21,69.34
32,68.44,71.04,67.42,68.67
33,69.68,71.95,68.44,67.87
34,68.55,68.33,66.97,66.86
35,68.89,71.27,68.44,69.12
36,67.87,71.15,67.65,68.78
37,67.99,71.27,67.87,69.12
38,67.99,70.14,69.34,68.44
39,69.46,69.91,69.91,69.34
40,70.7,71.83,70.59,71.27
41,70.48,70.48,66.18,67.53
42,68.89,72.85,68.44,68.21
43,72.96,72.74,71.49,69.0
44,70.02,70.93,69.46,71.72
45,69.8,69.91,71.04,67.42
46,67.65,69.34,68.33,68.55
47,67.76,70.25,67.87,68.33
48,69.57,68.67,68.21,65.95
49,69.57,69.34,66.97,68.55
50,70.81,73.19,71.15,70.7
51,70.02,71.04,69.12,68.89
52,69.8,71.49,68.55,69.12
53,68.67,70.25,69.91,69.34
54,67.08,69.68,64.14,66.06
55,68.21,68.67,68.1,68.21
56,69.68,72.29,69.8,67.08
57,71.38,71.95,70.93,71.95
58,70.02,69.23,68.55,68.1
59,69.91,68.89,65.16,67.19
60,68.78,71.83,69.12,66.74
61,69.91,70.7,69.57,69.46
62,72.51,71.83,71.04,68.55
63,68.44,69.0,67.65,68.78
64,67.99,72.85,69.57,69.91
65,68.21,69.91,69.12,67.08
66,68.44,71.95,68.1,67.08
67,70.36,69.8,65.61,67.31
68,69.57,72.4,67.99,67.08
69,68.78,72.85,69.34,69.57
70,69.91,71.49,70.14,69.0
71,70.93,69.68,71.15,68.78
72,67.31,68.55,68.33,65.16
73,70.48,70.93,70.81,69.57
74,67.19,71.38,66.63,67.53
75,70.25,74.55,70.7,69.57
76,71.38,72.74,70.93,70.93
77,68.78,72.17,69.57,71.27
78,67.19,68.78,67.87,66.52
79,69.8,72.4,69.8,67.87
80,66.74,69.68,67.53,66.06
81,69.91,73.64,68.78,71.04
82,70.02,71.38,69.68,69.23
83,69.0,70.25,67.19,67.31
84,70.93,72.17,69.91,68.78
85,68.1,72.17,66.29,66.06
86,71.49,71.27,69.0,67.76
87,71.04,70.48,70.02,67.87
88,67.65,70.02,67.08,68.55
89,68.21,70.02,69.23,68.78
90,68.78,71.72,70.59,68.78
91,68.33,70.25,65.38,66.86
92,68.33,70.93,68.67,70.48
93,66.06,70.02,69.0,66.18
94,72.17,72.96,69.8,69.57
95,69.68,71.95,68.1,69.57
96,69.91,71.95,67.08,68.1
97,68.21,70.81,68.55,69.12
98,68.78,69.68,66.86,68.21
99,71.72,73.3,72.29,68.44
