,bowRF,bowNB,tfRF,tfNB
0,74.12,83.25,71.88,84.38
1,73.0,80.75,67.5,81.12
2,73.62,84.12,73.0,86.38
3,74.38,84.5,72.75,85.75
4,72.62,83.0,73.88,84.38
5,73.62,83.88,75.75,84.62
6,67.62,80.25,70.0,79.38
7,74.12,82.5,73.12,84.25
8,71.75,84.0,73.75,84.0
9,73.25,83.88,71.5,84.5
10,76.75,83.0,74.12,84.75
11,72.75,80.38,72.5,81.88
12,74.12,83.88,72.0,84.0
13,73.62,82.75,73.25,83.38
14,73.62,84.25,73.5,86.12
15,69.5,83.62,73.75,83.88
16,74.5,83.38,68.0,85.0
17,72.38,83.25,70.38,84.0
18,71.25,81.0,73.38,82.5
19,72.62,81.88,72.88,82.88
20,72.75,85.0,73.38,86.62
21,72.75,81.38,69.62,80.12
22,72.88,84.0,69.5,85.38
23,73.38,81.38,70.0,81.88
24,75.75,83.62,73.88,85.25
25,72.5,79.5,69.0,79.88
26,74.5,82.5,74.75,83.38
27,74.12,82.0,69.5,83.88
28,70.25,84.5,71.38,85.38
29,73.62,82.88,71.75,84.38
30,72.25,82.5,71.88,83.38
31,71.5,81.0,71.75,81.0
32,70.38,82.88,71.62,84.0
33,71.62,83.0,72.25,84.0
34,75.38,83.12,73.62,84.5
35,73.88,82.75,71.0,83.75
36,74.25,85.0,70.5,85.25
37,75.0,85.5,72.25,87.12
38,71.75,81.75,69.62,83.12
39,72.88,80.25,70.38,82.0
40,71.38,83.12,75.38,85.12
41,74.12,82.0,71.62,84.5
42,73.38,82.5,69.38,82.62
43,71.12,83.0,70.62,82.88
44,73.88,82.62,71.62,84.75
45,70.88,83.12,71.12,83.5
46,73.88,82.0,72.38,84.25
47,71.62,83.75,73.0,84.12
48,74.38,83.12,71.62,85.0
49,72.0,84.62,73.88,83.5
50,72.88,80.62,75.25,81.88
51,74.12,83.75,72.5,85.12
52,76.12,80.5,72.0,81.25
53,74.0,83.75,75.75,85.25
54,74.12,83.0,72.38,83.25
55,72.25,80.62,71.25,82.88
56,74.5,84.62,68.25,85.38
57,72.75,80.12,71.5,81.62
58,75.75,81.5,74.88,81.5
59,74.25,83.12,73.12,83.62
60,73.0,83.5,71.0,84.12
61,74.62,83.12,70.62,84.88
62,72.0,83.12,69.5,84.38
63,72.5,82.38,71.88,84.38
64,72.25,83.88,72.5,83.75
65,75.5,83.0,72.38,83.75
66,73.75,81.75,69.5,82.38
67,74.75,84.38,69.25,83.62
68,70.75,83.12,74.12,83.38
69,73.75,82.5,72.25,82.38
70,69.5,80.75,70.75,83.0
71,73.5,82.25,73.38,84.25
72,69.75,81.75,71.38,82.12
73,71.62,82.0,70.25,82.25
74,73.25,83.62,72.38,84.38
75,70.75,83.38,72.62,85.0
76,73.38,84.75,72.75,86.75
77,71.88,83.0,69.88,84.5
78,73.75,84.25,71.38,85.75
79,71.12,82.88,71.0,82.75
80,74.5,82.88,72.12,82.75
81,72.38,83.5,72.5,83.5
82,73.62,83.12,71.38,84.38
83,71.38,83.25,73.5,83.0
84,72.38,81.25,71.75,82.62
85,72.38,82.88,68.75,83.25
86,74.5,80.88,69.62,82.38
87,72.5,82.38,72.0,82.88
88,73.88,81.75,73.75,84.62
89,74.12,85.12,74.62,85.62
90,72.0,81.88,71.12,80.88
91,74.12,83.62,69.25,81.88
92,71.12,85.25,72.62,85.88
93,74.62,82.75,72.5,84.0
94,71.88,82.75,71.0,82.88
95,72.38,82.25,75.38,83.38
96,75.12,84.38,70.88,84.88
97,76.38,84.38,72.5,83.62
98,72.75,84.25,73.62,84.62
99,74.0,81.62,70.12,84.25
