,bowRF,bowNB,tfRF,tfNB
0,70.59,73.64,71.28,66.18
1,70.63,73.4,69.43,65.29
2,70.87,74.19,71.72,66.07
3,70.52,72.51,70.01,65.9
4,70.93,72.92,70.83,65.46
5,69.46,72.89,70.97,66.0
6,71.35,74.56,71.59,66.69
7,70.49,74.08,69.29,66.69
8,70.04,72.51,68.95,65.32
9,70.93,72.41,69.98,65.08
10,70.83,73.09,69.94,66.11
11,69.57,72.99,70.63,65.8
12,70.97,73.3,70.93,66.59
13,70.49,73.5,70.56,66.35
14,70.42,73.57,69.8,66.14
15,69.63,72.44,70.52,65.9
16,71.48,73.3,70.59,66.72
17,70.01,73.91,69.98,65.56
18,70.8,71.76,70.56,65.42
19,70.35,73.16,70.66,65.32
20,71.04,73.43,71.41,66.55
21,70.87,72.65,70.39,65.32
22,70.49,72.65,69.74,65.29
23,70.22,73.47,70.46,66.0
24,71.41,74.73,71.65,67.2
25,71.21,73.78,70.08,66.11
26,71.79,72.82,71.62,66.18
27,71.86,73.4,70.42,65.59
28,70.56,73.13,70.49,65.7
29,73.5,73.91,70.56,66.21
30,71.04,73.06,71.31,65.9
31,70.22,74.5,70.18,65.9
32,71.55,72.71,69.12,65.22
33,70.49,74.15,71.04,66.59
34,72.3,73.84,71.76,66.96
35,71.76,73.6,72.1,67.07
36,70.46,72.89,71.45,66.38
37,70.93,73.54,70.8,66.35
38,69.5,71.93,70.56,65.94
39,71.59,73.57,69.98,65.66
40,72.51,74.15,71.35,68.13
41,70.25,73.16,70.73,66.18
42,69.98,72.44,69.57,64.94
43,71.28,71.93,71.38,67.1
44,69.84,73.57,70.32,66.28
45,70.35,72.27,70.18,65.9
46,71.55,72.82,71.45,66.66
47,71.0,73.33,71.76,66.52
48,69.53,71.17,69.74,63.4
49,69.74,72.03,70.56,65.56
50,71.62,73.23,69.43,65.29
51,71.72,73.37,71.28,66.72
52,70.32,73.74,70.42,65.9
53,71.14,73.02,70.04,65.56
54,70.63,72.99,70.18,65.77
55,69.91,72.92,71.24,66.21
56,71.11,73.71,70.52,67.58
57,71.04,73.54,70.63,66.48
58,70.83,73.09,70.25,65.32
59,69.98,73.02,71.0,65.7
60,70.76,73.84,71.31,66.0
61,72.0,74.5,70.63,66.66
62,70.9,73.6,70.39,65.8
63,70.66,73.16,70.49,65.42
64,71.59,74.87,70.22,67.13
65,69.22,72.58,69.09,65.11
66,71.76,73.84,72.06,66.59
67,69.36,73.13,70.66,65.35
68,71.41,73.09,70.76,66.45
69,70.8,72.61,70.01,66.35
70,71.52,72.65,70.69,65.56
71,70.93,74.15,69.67,66.14
72,70.18,72.54,71.48,66.14
73,71.04,73.19,70.46,66.14
74,70.11,73.06,70.49,66.28
75,70.22,73.19,69.67,65.22
76,70.52,73.57,71.79,66.69
77,69.7,72.41,69.05,64.64
78,69.94,71.93,70.04,65.66
79,70.83,73.26,71.0,66.0
80,69.74,71.86,69.29,65.05
81,70.11,73.19,70.08,65.22
82,71.38,73.4,70.18,65.08
83,70.83,73.64,72.13,66.14
84,69.94,73.26,71.62,66.31
85,72.51,74.19,72.48,67.37
86,71.31,73.5,71.55,66.96
87,71.82,74.12,71.14,66.18
88,70.93,71.41,70.01,65.7
89,71.24,73.3,71.0,66.24
90,70.52,72.58,70.32,65.42
91,70.8,72.99,70.76,65.56
92,70.46,72.78,70.22,66.04
93,71.79,73.84,70.35,66.89
94,70.42,73.13,71.24,65.8
95,71.17,72.85,70.9,66.35
96,70.97,73.09,70.97,66.21
97,70.35,73.6,71.69,66.48
98,69.53,71.82,69.8,65.53
99,70.73,72.27,70.9,64.94
