,bowRF,bowNB,tfRF,tfNB
0,71.03,67.77,68.91,61.96
1,69.58,67.56,68.46,61.08
2,69.63,67.13,70.01,62.01
3,69.99,67.89,68.58,60.43
4,71.01,67.7,69.37,59.89
5,70.27,67.32,69.91,59.6
6,70.61,68.25,68.6,59.65
7,70.96,68.13,69.51,62.43
8,70.82,67.94,69.29,60.77
9,70.37,66.56,67.98,60.05
10,71.41,68.79,69.49,61.46
11,70.18,67.25,70.56,61.15
12,71.03,67.79,69.27,60.15
13,69.91,67.56,67.82,60.29
14,70.44,67.2,69.77,60.31
15,70.08,67.53,67.58,59.29
16,71.37,68.15,70.3,60.89
17,70.37,67.44,68.22,60.89
18,70.75,67.56,67.56,60.34
19,70.63,67.1,68.96,61.22
20,70.68,67.1,68.68,60.7
21,71.01,68.22,68.75,59.65
22,68.75,67.94,67.27,60.86
23,70.49,66.77,68.99,59.55
24,71.77,67.91,68.94,61.05
25,69.1,68.08,67.79,59.84
26,69.32,67.96,67.56,59.98
27,70.75,66.87,68.08,60.77
28,69.68,67.65,68.48,60.62
29,70.89,68.53,68.99,61.17
30,70.49,68.58,67.48,61.7
31,71.61,66.98,68.82,60.89
32,69.75,67.06,67.51,59.15
33,71.41,67.6,68.94,58.91
34,70.15,67.91,69.89,59.96
35,70.03,67.79,68.99,61.51
36,69.91,67.63,68.46,60.34
37,69.27,66.67,67.7,59.1
38,71.11,67.51,69.68,60.15
39,71.77,67.27,68.7,61.41
40,71.11,67.34,69.03,60.15
41,69.34,66.98,68.39,59.96
42,69.46,67.79,68.58,61.79
43,70.58,66.75,67.96,60.39
44,69.63,66.89,68.27,59.24
45,69.15,66.96,67.2,59.05
46,70.99,67.29,69.06,61.12
47,70.75,67.51,69.2,61.05
48,69.63,66.94,68.68,60.65
49,69.46,66.29,67.32,61.2
50,71.89,67.87,67.89,61.1
51,70.58,66.63,69.27,60.84
52,70.32,67.65,69.41,60.41
53,71.13,67.94,69.27,61.2
54,71.03,67.03,68.56,61.17
55,69.25,67.01,67.48,59.74
56,69.49,67.17,66.98,59.74
57,69.68,67.58,68.13,60.29
58,70.61,67.51,69.34,60.36
59,69.91,67.17,67.13,60.29
60,70.08,67.39,69.22,60.65
61,70.89,68.15,68.53,61.17
62,71.25,66.84,68.34,60.93
63,70.2,67.22,68.18,60.31
64,69.82,66.89,68.39,59.86
65,71.03,68.7,68.53,60.81
66,70.3,68.29,68.63,59.79
67,69.63,67.87,66.77,60.15
68,71.51,68.99,69.58,60.22
69,71.2,67.32,68.53,59.62
70,70.44,67.27,68.03,60.1
71,69.91,67.56,68.58,59.6
72,69.53,66.63,67.94,59.77
73,70.77,66.98,69.75,61.1
74,69.49,68.65,69.13,59.77
75,69.58,67.46,69.13,60.39
76,70.27,68.22,69.58,60.03
77,69.32,68.08,67.72,59.39
78,70.32,67.17,68.15,60.46
79,70.91,68.2,69.25,61.51
80,71.3,68.46,69.25,59.41
81,71.15,67.37,69.01,60.08
82,68.72,67.58,68.56,59.05
83,71.06,67.15,68.68,59.41
84,71.56,66.98,69.34,60.67
85,69.34,67.34,68.27,60.51
86,70.94,67.53,69.84,61.31
87,71.22,68.48,69.18,61.58
88,70.49,67.79,69.13,62.39
89,68.41,68.44,68.37,60.67
90,70.65,67.56,68.1,58.5
91,70.46,67.56,67.34,60.24
92,70.84,67.22,69.13,59.55
93,68.99,67.17,67.79,58.41
94,70.8,67.68,69.27,59.5
95,70.32,67.08,68.27,61.43
96,71.49,67.87,69.44,62.03
97,71.03,68.39,70.27,60.34
98,69.89,66.27,66.36,58.96
99,70.08,66.72,68.44,61.05
